character,dialogue,next_line
THREEPIO,did you hear that? they've shut down the main reactor. we'll be destroyed for sure. this is madness! [EOL],we're
THREEPIO,we're doomed! [EOL],there'll
THREEPIO,there'll be no escape for the princess this time. [EOL],what's
THREEPIO,what's that? [EOL],i
THREEPIO,i should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister... [EOL],hurry
LUKE,hurry up! come with me! what are you waiting for?! get in gear! [EOL],artoo!
THREEPIO,"artoo! artoo-detoo, where are you? [EOL]",at
THREEPIO,at last! where have you been? [EOL],they're
THREEPIO,they're heading in this direction. what are we going to do? we'll be sent to the spice mines of kessel or smashed into who knows what! [EOL],wait
THREEPIO,"wait a minute, where are you going? [EOL]",the
IMPERIAL OFFICER,the death star plans are not in the main computer. [EOL],where
VADER,where are those transmissions you intercepted? [EOL],we
REBEL OFFICER,we intercepted no transmissions. aaah... this is a consular ship. were on a diplomatic mission. [EOL],if
VADER,if this is a consular ship... where is the ambassador? [EOL],"commander,"
VADER,"commander, tear this ship apart until you've found those plans and bring me the ambassador. i want her alive! [EOL]",there
TROOPER,there she is! set for stun! [EOL],she'll
TROOPER,she'll be all right. inform lord vader we have a prisoner. [EOL],"hey,"
THREEPIO,"hey, you're not permitted in there. it's restricted. you'll be deactivated for sure.. [EOL]",don't
THREEPIO,"don't call me a mindless philosopher, you overweight glob of grease! now come out before somebody sees you. [EOL]",secret
THREEPIO,secret mission? what plans? what are you talking about? i'm not getting in there! [EOL],i'm
THREEPIO,i'm going to regret this. [EOL],there
CHIEF PILOT,there goes another one. [EOL],hold
CAPTAIN,hold your fire. there are no life forms. it must have been short-circuited. [EOL],that's
THREEPIO,"that's funny, the damage doesn't look as bad from out here. [EOL]",are
THREEPIO,are you sure this things safe? [EOL],i've
WOMAN,i've told you kids to slow down! [EOL],did
FIXER,did i hear a young noise blast through here? [EOL],it
CAMIE,it was just wormie on another rampage. [EOL],shape
LUKE,shape it up you guys!... biggs? [EOL],i
